web-scraper-order,web-scraper-start-url,product_name,price,product_sold
"1705482488-114","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Check Rayon Twill Wanita 117106918","119.960","19 Terjual"
"1705482488-115","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Regular Check Rayon Twill Wanita 117055796","119.960","66 Terjual"
"1705482488-116","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Annisa Blouse Lengan Panjang Basic Shanghai Collar Check Wanita 117776605","119.960","20 Terjual"
"1705482488-117","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Details Blouse Wanita Printed Stripe On White 115884822","119.960","29 Terjual"
"1705482488-118","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Annisa Kemeja Lengan Panjang Basic Shirt Liva Eco Pria 117046680","119.960","51 Terjual"
"1705482488-119","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Annisa Kemeja Lengan Panjang Textures With Ruffles Wanita 117864779","119.960","20 Terjual"
"1705482488-120","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Print Flower Kemeja Wanita 117733642","119.960","21 Terjual"
"1705482488-121","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","St. Yves Mom Midi Dress Lengan Panjang Kerah Airflow Wanita  115959242","119.960","20 Terjual"
"1705482488-122","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Pendek Long Cotton Flap 115571302","119.960","18 Terjual"
"1705482488-123","https://shopee.co.id/matahari?order=asc&page=0&shopCollection=157001468&sortBy=price","Nevada Kemeja Lengan Panjang Woven Check Rayon Twill Wanita 117060379","119.960","13 Terjual"
